BROKERTITLE,TYPE,PRICE,BEDS,BATH,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PROPERTYM2,BOROUGH,price_outlier,PROPERTYM2_log,price_per_m2
prospes real estate corp,house,1250000,4,2,"146-11 Delaware Ave, Flushing, NY 11355, USA",40.7562704,-73.8180817,202.91946300338603,Queens,False,2.307323704350202,6160.079380749898
benjamin since 1980,condo,1078000,3,2,"100-25 Queens Blvd #4b, Forest Hills, NY 11375, USA",40.7270139,-73.8523359,202.91946300338603,Queens,False,2.307323704350202,5312.452457958711
keller williams,house,3200000,4,4,"70 81st St, Brooklyn, NY 11209, USA",40.6286854,-74.0372417,274.06385,Brooklyn,True,2.4378517543249725,11676.111241960587
compass,co op,555555,1,1,"622 West End Ave #4a, New York, NY 10024, USA",40.7914938,-73.9756337,202.91946300338603,Manhattan,False,2.307323704350202,2737.8103202980074
keller williams,co op,293900,1,1,"35-31 85th St #6c, Jackson Heights, NY 11372, USA",40.7512505,-73.8814433,202.91946300338603,Queens,False,2.307323704350202,1448.357864001916
re/max,house,1175000,3,2,"6810 Madeline Ct, Brooklyn, NY 11220, USA",40.6369819,-74.0276787,110.740376,Brooklyn,False,2.0443059937510273,10610.402839881996
exit first choice,land,160000,3,2,"110-42 213th St, Queens Village, NY 11429, USA",40.7066981,-73.7439122,202.91946300338603,Queens,False,2.307323704350202,788.4901607359869
karten real estate svcs,house,1448000,5,4,"84-19 253rd St, Jamaica, NY 11426, USA",40.735335,-73.7142031,185.806,Queens,False,2.2690597340107908,7793.074497056069
bergen basin,house,2950000,6,5,"2390 National Dr, Brooklyn, NY 11234, USA",40.6037688,-73.9113665,505.020708,Brooklyn,False,2.7033091864072665,5841.344628585012
exp,co op,150000,3,1,"99-10 60th Ave #5l, Corona, NY 11368, USA",40.7364499,-73.8584826,55.7418,Queens,False,1.7461809887304531,2690.9787627956043
ditommaso real estate,condo,354900,2,1,"160 72nd St Apt 713, Brooklyn, NY 11209, USA",40.6343667,-74.0311335,62.523719,Brooklyn,False,1.7960448025707865,5676.2458419979785
chase global corp,condo,580000,2,2,"93-05 37th Ave, Jackson Heights, NY 11372, USA",40.7510826,-73.8738365,202.91946300338603,Queens,False,2.307323704350202,2858.2768326679525
trademarko inc,house,969000,3,2,"63-44 72nd St, Flushing, NY 11379, USA",40.7165988,-73.883495,164.99572799999999,Queens,False,2.2174726997893917,5872.879326912028
bayview marketing,condo,530000,1,1,"2286 Cropsey Ave #6d, Brooklyn, NY 11214, USA",40.5954596,-73.9968422,49.981814,Brooklyn,False,1.6988120140131988,10603.856834807957
winzone inc,house,3900000,5,6,"144-58 Boulevard, Malba, NY 11357, USA",40.7924353,-73.8258362,717.489869,Queens,True,2.855815773185181,5435.61681983833
keller williams,condo,624999,3,2,"1070 E 73rd St #4c, Brooklyn, NY 11234, USA",40.6283771,-73.9175027,202.91946300338603,Brooklyn,False,2.307323704350202,3080.0347623114444
vylla homes,house,551000,3,2,"1606 E 45th St, Brooklyn, NY 11234, USA",40.6214749,-73.932287,202.91946300338603,Brooklyn,False,2.307323704350202,2715.362991034555
corcoran,townhouse,14800000,8,10,"135 E 15th St, New York, NY 10003, USA",40.7345123,-73.9874441,202.91946300338603,Manhattan,True,2.307323704350202,72935.3398680788
kismet ny,house,450000,3,2,"102 Pilot St, Bronx, NY 10464, USA",40.8408308,-73.7856681,104.237166,Bronx,False,2.0180225952669524,4317.078229083857
robert defalco inc,condo,475000,2,1,"26 Katan Loop, Staten Island, NY 10308, USA",40.5527755,-74.1539297,120.402288,Staten Island,False,2.080634739881384,3945.1077540984934
corcoran,condo,995000,3,2,"100 Manhattan Ave #4a, New York, NY 10025, USA",40.7974456,-73.9620195,202.91946300338603,Manhattan,False,2.307323704350202,4903.423187076919
sotheby's,co op,650000,1,1,"411 E 57th St #16b, New York, NY 10022, USA",40.7582795,-73.9624506,202.91946300338603,Manhattan,False,2.307323704350202,3203.241277989947
sold by bart r e partners inc,co op,250000,2,1,"83-55 Woodhaven Blvd #6k, Woodhaven, NY 11421, USA",40.700309,-73.8535466,202.91946300338603,Queens,False,2.307323704350202,1232.0158761499795
re/max,co op,125000,3,1,"3121 Middletown Rd #1c, Bronx, NY 10461, USA",40.8455961,-73.8264218,55.7418,Bronx,False,1.7461809887304531,2242.48230232967
compass,co op,2200000,3,3,"336 Central Park W #3b, New York, NY 10025, USA",40.7904197,-73.966175,203.922085,Manhattan,False,2.30946426292495,10788.434219863924
corcoran,condo,925000,2,1,"200 Bowery #2c, New York, NY 10012, USA",40.7213854,-73.9939529,202.91946300338603,Manhattan,False,2.307323704350202,4558.458741754925
classic home sales,house,639000,3,2,"2072 E 74th St, Brooklyn, NY 11234, USA",40.6214608,-73.905805,202.91946300338603,Brooklyn,False,2.307323704350202,3149.032579439348
sowae corp,house,215000,3,2,"114-06 194th St, Jamaica, NY 11412, USA",40.6982271,-73.7605874,140.190627,Queens,False,2.1467189781223994,1533.6260675972296
tom crimmins ltd,house,2050000,6,6,"254 Flagg Pl, Staten Island, NY 10304, USA",40.5856353,-74.1068594,520.2568,Staten Island,False,2.71621776535301,3940.3617598078486
jane mosello real estate,co op,279000,2,2,"4320 Van Cortlandt Park E, Bronx, NY 10470, USA",40.898666,-73.8738365,97.54814999999999,Bronx,False,1.9892190374167475,2860.1259993141853
compass,condo,785000,2,2,"16 Bay 25th St #4a, Brooklyn, NY 11214, USA",40.6039146,-73.9980848,89.930104,Brooklyn,False,1.9539050956552033,8729.001358655161
ashford homes,house,669000,3,2,"72 Boone St, Staten Island, NY 10314, USA",40.6013797,-74.1380964,121.888736,Staten Island,False,2.085963573386451,5488.61217167762
corcoran,multi family home,3650000,4,4,"35 Joralemon St, Brooklyn, NY 11201, USA",40.6938815,-73.9983127,267.56064,Brooklyn,True,2.4274222261060405,13641.76733917216
exp,townhouse,6700000,4,4,"51 W 95th St, New York, NY 10025, USA",40.7918625,-73.9667605,347.45722,Manhattan,True,2.5409013405472898,19282.949423241225
vantage partners,multi family home,681000,6,3,"694 Ashford St, Brooklyn, NY 11207, USA",40.6648825,-73.8826911,202.91946300338603,Brooklyn,False,2.307323704350202,3356.0112466325445
robert defalco inc,multi family home,530000,2,2,"87 Murdock Pl, Staten Island, NY 10303, USA",40.6268626,-74.1476451,155.333816,Staten Island,False,2.191266011449807,3412.0065652671533
corcoran,condo,1700000,2,2,"984 Bergen St #1, Brooklyn, NY 11216, USA",40.6763522,-73.9543474,146.78674,Brooklyn,False,2.166686825301232,11581.427586715257
j milo real estate ltd,co op,339000,1,1,"9437 Shore Rd Apt C8, Brooklyn, NY 11209, USA",40.6171201,-74.0385203,100.799755,Brooklyn,False,2.003459476531358,3363.1034123049208
keller williams,house,800000,3,2,"1883 E 53rd St, Brooklyn, NY 11234, USA",40.6125589,-73.9230425,113.713272,Brooklyn,False,2.055811156156352,7035.238595544062
re/max,co op,189000,1,1,"6535 Broadway #1g, Bronx, NY 10471, USA",40.906568,-73.8968047,65.0321,Bronx,False,1.8131277783610664,2906.2570638192524
corcoran,co op,48000000,5,2,"740 Park Ave #5, New York, NY 10021, USA",40.7707516,-73.9645283,202.91946300338603,Manhattan,True,2.307323704350202,236547.04822079607
brown harris stevens,co op,4995000,2,2,"14 E 75th St #9d, New York, NY 10021, USA",40.7737635,-73.9644574,202.91946300338603,Manhattan,True,2.307323704350202,24615.677205476593
douglas elliman,house,999999,2,2,"333 E 91st St #10b, New York, NY 10128, USA",40.7803429,-73.947266,111.297794,Manhattan,False,2.0464865564001022,8984.895064496966
commerce,condo,575000,3,2,"61-20 71st Ave #2f, Ridgewood, NY 11385, USA",40.7019793,-73.8942094,81.475931,Queens,False,1.9110293317128502,7057.298921812872
corcoran,co op,385000,1,1,"116 Pinehurst Ave, New York, NY 10033, USA",40.8522694,-73.939181,202.91946300338603,Manhattan,False,2.307323704350202,1897.3044492709685
compass,townhouse,7950000,4,2,"20 Jones St, New York, NY 10014, USA",40.7319485,-74.0025061,315.591491,Manhattan,True,2.4991252852168375,25190.793246070123
douglas elliman,co op,175000,3,1,"275 Webster Ave #6g, Brooklyn, NY 11230, USA",40.6329634,-73.9709274,202.91946300338603,Brooklyn,False,2.307323704350202,862.4111133049857
keller williams,multi family home,915999,5,3,"26-39 93rd St, Flushing, NY 11369, USA",40.7618985,-73.8758538,202.91946300338603,Queens,False,2.307323704350202,4514.101242150021
re/max,multi family home,1850000,12,8,"1727 E 14th St, Brooklyn, NY 11229, USA",40.6074371,-73.9588281,487.74075,Brooklyn,False,2.6881890417527665,3792.9986370833276
douglas elliman,condo,40000000,5,6,"111 Murray St Ph 2, New York, NY 10007, USA",40.715351,-74.0128441,695.657664,Manhattan,True,2.8423955740768583,57499.546213581285
pantiga  inc,co op,175000,1,1,"190 E Mosholu Pkwy S #3b, Bronx, NY 10458, USA",40.8742949,-73.883753,74.3224,Bronx,False,1.8711197253387533,2354.6064174461535
winzone inc,house,729000,4,2,"118-18 225th St, Jamaica, NY 11411, USA",40.6917538,-73.7370978,202.91946300338603,Queens,False,2.307323704350202,3592.5582948533406
douglas elliman,townhouse,5995000,6,4,"136 Kane St, Brooklyn, NY 11231, USA",40.6868209,-73.9988226,371.612,Brooklyn,True,2.570089729674772,16132.417682959645
exp,co op,480000,2,1,"6636 Yellowstone Blvd Apt 22f, Forest Hills, NY 11375, USA",40.7291499,-73.84944,202.91946300338603,Queens,False,2.307323704350202,2365.4704822079607
brown harris stevens,house,4200000,5,4,"164 W 88th St, New York, NY 10024, USA",40.788437,-73.9731887,416.20544,Manhattan,True,2.6193077523449535,10091.170360483515
sotheby's,townhouse,1198000,4,2,"68-09 Olcott St, Forest Hills, NY 11375, USA",40.7129312,-73.8561994,202.91946300338603,Queens,False,2.307323704350202,5903.820078510702
ben bay co,house,1848000,6,2,"976 Ocean Ave, Brooklyn, NY 11226, USA",40.6386251,-73.9591955,341.511428,Brooklyn,False,2.5334052410608834,5411.239122574838
exp,co op,285000,1,1,"1293 E 5th St #6b, Brooklyn, NY 11230, USA",40.6195811,-73.9706361,69.67725,Brooklyn,False,1.8430910017385096,4090.287719449318
realty trends corp,multi family home,849000,5,3,"43-06 Rockaway Beach Blvd, Far Rockaway, NY 11691, USA",40.5939428,-73.7748361,228.54138,Queens,False,2.358964845450189,3714.863365225151
compass,house,549000,3,2,"1764 Undercliff Ave, Bronx, NY 10453, USA",40.8515331,-73.9197862,116.12875,Bronx,False,2.064939751354866,4727.511490479317
magic of great neck inc,co op,729000,2,2,"26910 Grand Central Pkwy #12o, Queens, NY 11005, USA",40.7577991,-73.7159564,157.9351,Queens,False,2.1984786597250836,4615.820042536459
douglas elliman,co op,199999,1,1,"209-10 41st Ave #1f, Bayside, NY 11361, USA",40.762788,-73.7768814,202.91946300338603,Queens,False,2.307323704350202,985.6077728564791
douglas elliman,house,4900000,8,2,"5040 Goodridge Ave, Bronx, NY 10471, USA",40.8983076,-73.9020849,836.127,Bronx,True,2.9222722477861343,5860.353750088205
exp,multi family home,600000,4,2,"4217 Seton Ave, Bronx, NY 10466, USA",40.896179,-73.839487,160.536384,Bronx,False,2.205573476489684,3737.4705038827833
keller williams,house,599000,3,1,"11120 145th St, Jamaica, NY 11435, USA",40.6860975,-73.7998859,124.49002,Queens,False,2.095134536711617,4811.630683327065
voro,multi family home,599000,5,2,"716 Decatur St, Brooklyn, NY 11233, USA",40.6835248,-73.9141078,210.704004,Brooklyn,False,2.3236727885676784,2842.850580096238
fillmore real estate,condo,725000,3,2,"1322 E 14th St #4b, Brooklyn, NY 11230, USA",40.6172572,-73.9611011,110.09005499999999,Brooklyn,False,2.0417480886929322,6585.517647347892
brooklyn s 4 u,multi family home,1295000,3,2,"2506 E 65th St, Brooklyn, NY 11234, USA",40.609816,-73.9084026,241.5478,Brooklyn,False,2.3830030863176277,5361.257688954319
berkshire hathaway homeservices cangiano estates,multi family home,798888,3,2,"849 Rossville Ave, Staten Island, NY 10309, USA",40.5474933,-74.2098503,139.3545,Staten Island,False,2.144120997402491,5732.775044939345
j milo real estate,house,529000,3,1,"89-22 210th Pl, Queens Village, NY 11427, USA",40.7212998,-73.7544395,167.2254,Queens,False,2.2233022434501155,3163.395034486388
homes r us of ny inc,multi family home,999998,3,2,"327 Brehaut Ave, Staten Island, NY 10307, USA",40.5114943,-74.2382685,222.9672,Staten Island,False,2.3482409800584154,4484.95563473013
re/max,multi family home,1550000,12,7,"174 Camden Ave, Staten Island, NY 10309, USA",40.5083446,-74.2299349,278.709,Staten Island,False,2.445150993066472,5561.356109777582
re/max,co op,319000,2,1,"6741 Burns St Apt 414, Forest Hills, NY 11375, USA",40.7230399,-73.85628,202.91946300338603,Queens,False,2.307323704350202,1572.0522579673739
jws,co op,245000,3,1,"5 Tudor City Pl #1818ny, New York, NY 10017, USA",40.748134,-73.9708805,24.15478,Manhattan,False,1.3830030863176275,10142.91995207574
get listed get sold nyc,multi family home,1249000,5,3,"2171 W 7th St, Brooklyn, NY 11223, USA",40.5946329,-73.9779295,143.813844,Brooklyn,False,2.1578006946936834,8684.83843599925
re/max,condo,455000,2,1,"449 Medina St #2c, Staten Island, NY 10306, USA",40.5599528,-74.1198255,87.235917,Staten Island,False,1.9406953306129204,5215.741584971245
re/max,multi family home,999900,4,2,"29 Bay 10th St, Brooklyn, NY 11228, USA",40.6101839,-74.009209,188.035672,Brooklyn,False,2.2742402465145712,5317.6080334374
jm,house,395000,2,1,"170 Baden Pl, Staten Island, NY 10306, USA",40.5724498,-74.0909716,61.873398,Staten Island,False,1.7915039675171107,6384.003671497078
nestapple,condo,620000,1,1,"112 W 72nd St Ph C, New York, NY 10023, USA",40.7774399,-73.9793101,39.94829,Manhattan,False,1.6014981939263961,15520.063562169995
momentum real estate,multi family home,1295000,4,2,"643 Huguenot Ave, Staten Island, NY 10312, USA",40.5389259,-74.195072,303.235392,Staten Island,False,2.4817798884286333,4270.609678701357
ilite inc,condo,849000,3,2,"398 Kings Hwy #308, Brooklyn, NY 11223, USA",40.604405,-73.9751935,115.292623,Brooklyn,False,2.0618015198455395,7363.870973774271
serhant,co op,8995000,5,4,"38 W 26th St #9d, New York, NY 10010, USA",40.7442721,-73.9907621,510.9665,Manhattan,True,2.7083924278410536,17603.89379734288
jnm  inc,co op,650000,3,1,"116 Cambridge Pl #3c, Brooklyn, NY 11238, USA",40.6837918,-73.9631445,202.91946300338603,Brooklyn,False,2.307323704350202,3203.241277989947
compass,condo,2995000,2,2,"120 E 87th St #26b, New York, NY 10128, USA",40.7803919,-73.9558923,134.895156,Manhattan,False,2.1299963547108844,22202.428084222687
douglas elliman,condo,495000,2,1,"83-71 116th St #4e, Richmond Hill, NY 11418, USA",40.7045515,-73.8356118,74.3224,Queens,False,1.8711197253387533,6660.17243791912
neuhaus inc,house,675000,3,2,"7 Norwood Ct, Staten Island, NY 10304, USA",40.6277171,-74.0860272,113.527466,Staten Island,False,2.055100944253345,5945.697757404362
compass,condo,999000,3,1,"10 West End Ave #8j, New York, NY 10023, USA",40.7717454,-73.9900505,55.7418,Manhattan,False,1.7461809887304531,17921.918560218724
ppad park property advisors,condo,2250000,2,2,"415 Degraw St, Brooklyn, NY 11217, USA",40.6819719,-73.9903277,123.932602,Brooklyn,False,2.09318556792734,18155.029134303175
re/max,multi family home,1299000,9,4,"790 Olmstead Ave, Bronx, NY 10473, USA",40.8227297,-73.8517272,345.59916,Bronx,False,2.5385726782287072,3758.6896912596662
j sikar,condo,429000,1,1,"Brightwater Towers East, 501 Surf Ave #9d, Brooklyn, NY 11224, USA",40.5755355,-73.9735905,59.45792,Brooklyn,False,1.7742097123306968,7215.186807745713
aschan,house,649999,3,2,"139-32 Laurelton Pkwy, Jamaica, NY 11422, USA",40.6670008,-73.7409018,202.91946300338603,Queens,False,2.307323704350202,3203.2363499264425
brown harris stevens,townhouse,10995000,7,6,"318 W 81st St, New York, NY 10024, USA",40.7858802,-73.9811894,836.127,Manhattan,True,2.9222722477861343,13149.916220861185
brown harris stevens,townhouse,2050000,5,4,"26 Rutland Rd, Brooklyn, NY 11225, USA",40.6586603,-73.9595973,278.709,Brooklyn,False,2.445150993066472,7355.341951641318
behfar team,house,1075000,6,2,"1455 E 15th St, Brooklyn, NY 11230, USA",40.6141979,-73.9591151,204.3866,Brooklyn,False,2.3104524191690157,5259.6403091004995
tracey real estate,co op,174000,1,1,"3105 Ave V #1h, Brooklyn, NY 11229, USA",40.5997081,-73.9344974,74.3224,Brooklyn,False,1.8711197253387533,2341.151523632175
connie profaci,house,1193000,2,2,"1085 Todt Hill Rd, Staten Island, NY 10304, USA",40.5839283,-74.1113788,141.026754,Staten Island,False,2.1493015099062713,8459.387783966155
corcoran,house,4995000,4,4,"464 1st St, Brooklyn, NY 11215, USA",40.6712943,-73.9771145,202.91946300338603,Brooklyn,True,2.307323704350202,24615.677205476593
sotheby's,townhouse,12500000,9,2,"180 2nd Ave, New York, NY 10003, USA",40.7305606,-73.9859258,975.4815,Manhattan,True,2.9892190374167478,12814.184584740971
pride estates,house,898000,5,4,"185 Highland Blvd, Brooklyn, NY 11207, USA",40.6816001,-73.8948525,262.729684,Brooklyn,False,2.4195091434716716,3417.9617100289283
keller williams,multi family home,1288000,5,3,"147-18 16th Rd, Flushing, NY 11357, USA",40.7849809,-73.8178033,139.3545,Queens,False,2.144120997402491,9242.615057281968
prodigy real estate inc,house,1749999,4,4,"106 Overlook Ave, Staten Island, NY 10304, USA",40.595688,-74.0982331,241.5478,Staten Island,False,2.3830030863176277,7244.9386829439145
re/max,condo,575000,2,2,"10102 Shore Front Pkwy # 26a, Far Rockaway, NY 11694, USA",40.5824866,-73.8213437,116.407459,Queens,False,2.0659808093409597,4939.546013112441
nest seekers  midtown,condo,5100000,4,2,"201 W 17th St, New York, NY 10011, USA",40.7408109,-73.998475,202.807249,Manhattan,True,2.3070834740559487,25147.03012415498
compass,condo,2000000,1,2,"108 Reade St #4b, New York, NY 10013, USA",40.7159753,-74.0083683,122.724863,Manhattan,False,2.0889325559613368,16296.61627733901
keller williams,co op,170000,2,1,"3555 Kings College Pl #2g, Bronx, NY 10467, USA",40.8813916,-73.8757001,78.96755,Bronx,False,1.8974486640611024,2152.7830102364833
corcoran,co op,1295000,2,2,"Eagle Warehouse & Storage Company, 28 Old Fulton St, Brooklyn, NY 11201, USA",40.702334,-73.9937463,195.09629999999999,Brooklyn,False,2.290249033080729,6637.747614895824
kms  inc,house,749000,3,2,"767 Brighton Ave, Staten Island, NY 10301, USA",40.6333903,-74.0969828,123.746796,Staten Island,False,2.0925339631810917,6052.681961963685
momentum real estate,multi family home,1848000,3,4,"1862 84th St, Brooklyn, NY 11214, USA",40.607214,-73.9998636,338.16692,Brooklyn,False,2.5291311219958654,5464.756872138765
compass,co op,465000,2,2,"420 E 51st St Apartment 10e, New York, NY 10022, USA",40.754032,-73.965157,202.91946300338603,Manhattan,False,2.307323704350202,2291.5495296389618
voro,co op,298999,2,1,"229-17 87th Ave, Queens Village, NY 11427, USA",40.7317712,-73.739171,202.91946300338603,Queens,False,2.307323704350202,1473.486059811871
exit all seasons,co op,209900,1,1,"3845 Shore Pkwy #5h, Brooklyn, NY 11235, USA",40.586901,-73.932949,72.46433999999999,Brooklyn,False,1.86012434103729,2896.597140055371
compass,co op,539000,1,1,"385 E 18th St #6j, Brooklyn, NY 11226, USA",40.6419847,-73.9614428,202.91946300338603,Brooklyn,False,2.307323704350202,2656.2262289793557
douglas elliman,house,2975000,3,2,"474 Sterling Pl, Brooklyn, NY 11238, USA",40.674276,-73.9626129,202.91946300338603,Brooklyn,False,2.307323704350202,14660.988926184757
akcess24homes inc,multi family home,2099000,6,5,"97-19 63rd Dr, Rego Park, NY 11374, USA",40.7308373,-73.8599677,202.91946300338603,Queens,False,2.307323704350202,10344.005296155228
houlihan lawrence bronxville,co op,199900,1,1,"55 E 190th St Apt 3, Bronx, NY 10468, USA",40.863113,-73.8983227,85.935275,Bronx,False,1.9341714710858422,2326.1693175474215
compass,co op,789000,2,1,"400 E 77th St #4a, New York, NY 10075, USA",40.7707244,-73.9533267,202.91946300338603,Manhattan,False,2.307323704350202,3888.2421051293354
douglas elliman,house,919000,3,2,"941 Newkirk Ave, Brooklyn, NY 11230, USA",40.6335949,-73.9678166,145.393195,Brooklyn,False,2.162544080229277,6320.791010886032
corcoran,house,815599,3,2,"3708 Avenue K, Brooklyn, NY 11210, USA",40.6254509,-73.9395115,202.91946300338603,Brooklyn,False,2.307323704350202,4019.3236662881886
ashford homes,multi family home,1050000,4,4,"97 Excelsior Ave, Staten Island, NY 10309, USA",40.5209862,-74.2084631,307.044415,Staten Island,False,2.487201202168469,3419.7006970473635
william raveis real estate yorktown heights,co op,289999,1,1,"2550 Independence Ave #3c, Bronx, NY 10463, USA",40.8799897,-73.919862,77.10949,Bronx,False,1.8871078307228835,3760.873013166084
bhhs new york,co op,4050000,4,3,"1060 5th Ave #3c, New York, NY 10128, USA",40.7822029,-73.959633,202.91946300338603,Manhattan,True,2.307323704350202,19958.657193629668
oxford property,townhouse,7750000,3,2,"5622 14th Ave, Brooklyn, NY 11219, USA",40.629467,-73.994672,313.547625,Brooklyn,True,2.496303515513853,24717.138265678142
re/max,multi family home,1998000,6,3,"578 Ovington Ave, Brooklyn, NY 11209, USA",40.631406,-74.0193512,296.546376,Brooklyn,False,2.4720926210255016,6737.563368503279
douglas elliman,condo,1250000,3,2,"425 E 14th St d1, New York, NY 10009, USA",40.7308035,-73.9808981,119.008743,Manhattan,False,2.0755788680914957,10503.4299874926
apple  corp,condo,680000,2,2,"16709 Powells Cove Blvd #26, Flushing, NY 11357, USA",40.7942255,-73.7950678,98.291374,Queens,False,1.9925154060459767,6918.206271081326
winzone inc,house,1299000,4,2,"2066 66th St, Brooklyn, NY 11204, USA",40.6147583,-73.9849887,202.91946300338603,Brooklyn,False,2.307323704350202,6401.554492475294
a j of queens inc,multi family home,899000,4,2,"109-06 112th St, Jamaica, NY 11420, USA",40.6803198,-73.8281794,202.91946300338603,Queens,False,2.307323704350202,4430.329090635327
elegran,condo,845000,3,2,"83-9 Talbot St #5n, Kew Gardens, NY 11415, USA",40.7095418,-73.8286658,202.91946300338603,Queens,False,2.307323704350202,4164.213661386931
e  corp,house,2098000,5,4,"147-48 8th Ave, Flushing, NY 11357, USA",40.7928436,-73.8190811,111.4836,Queens,False,2.0472109843944346,18818.911481150593
fillmore real estate,co op,899000,2,2,"9201 Shore Rd #507, Brooklyn, NY 11209, USA",40.620502,-74.0396973,120.7739,Brooklyn,False,2.0819730906536464,7443.661254625378
keller williams,house,758888,3,1,"203-03 34th Ave, Flushing, NY 11361, USA",40.7676985,-73.7850344,202.91946300338603,Queens,False,2.307323704350202,3739.8482568788227
redfin real estate,co op,650000,2,1,"332 W 101st St #2r, New York, NY 10025, USA",40.798761,-73.9721556,202.91946300338603,Manhattan,False,2.307323704350202,3203.241277989947
flat rate of queens ltd,co op,169000,1,1,"16520 Highland Ave Apt 105, Jamaica, NY 11432, USA",40.7106599,-73.7986899,78.96755,Queens,False,1.8974486640611024,2140.119580764504
prospes real estate corp,multi family home,1350000,5,3,"58-16 83rd Pl, Flushing, NY 11379, USA",40.728555,-73.8780858,202.91946300338603,Queens,False,2.307323704350202,6652.88573120989
brown harris stvns forest hill,co op,695000,2,2,"Berkeley Apartments, 35-25 77th St, Flushing, NY 11372, USA",40.7507718,-73.8890157,202.91946300338603,Queens,False,2.307323704350202,3425.004135696943
douglas elliman,multi family home,1499000,5,2,"18 Covert St., Brooklyn, NY 11207, USA",40.6852121,-73.9131299,211.81884,Brooklyn,False,2.3259645853472635,7076.802044615106
corcoran,co op,445000,1,1,"Tudor City, New York, NY 10017, USA",40.7488491,-73.9716161,202.91946300338603,Manhattan,False,2.307323704350202,2192.9882595469635
coldwell banker,townhouse,499000,3,2,"181 Morningstar Rd, Staten Island, NY 10303, USA",40.633314,-74.145909,130.0642,Staten Island,False,2.1141577740250477,3836.566864671447
compass,co op,449000,3,1,"440 E 56th St #4b, New York, NY 10022, USA",40.7568629,-73.9621341,202.91946300338603,Manhattan,False,2.307323704350202,2212.7005135653635
hall homes inc,house,649000,4,2,"2760 Amboy Rd, Staten Island, NY 10306, USA",40.5694974,-74.1237437,104.05136,Staten Island,False,2.0172477610169914,6237.304346622668
hometown,co op,335000,1,1,"7901 4th Ave e5, Brooklyn, NY 11209, USA",40.6273371,-74.0262024,70.234668,Brooklyn,False,1.846551533848016,4769.724262098029
block lot real estate svc,multi family home,838000,8,4,"155-17 113th Ave, Jamaica, NY 11433, USA",40.6880649,-73.7919272,202.91946300338603,Queens,False,2.307323704350202,4129.717216854731
compass,condo,1495000,2,2,"84 Front St #2b, Brooklyn, NY 11201, USA",40.702357,-73.9892037,102.007494,Brooklyn,False,2.0086320784608827,14655.785975881341
century homes,multi family home,980000,4,4,"262 Zerega Ave, Bronx, NY 10473, USA",40.8129128,-73.8461841,285.026404,Bronx,False,2.454885093623753,3438.277949856182
re/max,house,688000,3,2,"2805 W 28th St, Brooklyn, NY 11224, USA",40.5773399,-73.9943294,124.861632,Brooklyn,False,2.096429007064616,5510.099371438618
budget real estate nyc inc,multi family home,679000,6,3,"1319 E 96th St, Brooklyn, NY 11236, USA",40.6398004,-73.8974592,202.91946300338603,Brooklyn,False,2.307323704350202,3346.1551196233445
geo real estate  inc,co op,375000,1,1,"240 E 55th St #8e, New York, NY 10022, USA",40.7581216,-73.9670704,46.4515,Manhattan,False,1.6669997426828285,8072.936288386812
netter real estate inc,house,848724,2,2,"53-15 37th Rd, Flushing, NY 11377, USA",40.7511112,-73.9089639,202.91946300338603,Queens,False,2.307323704350202,4182.565769878061
brown harris stevens,townhouse,1595000,3,8,"511 W 144th St, New York, NY 10031, USA",40.8250069,-73.9486453,202.91946300338603,Manhattan,False,2.307323704350202,7860.26128983687
city advance inc,condo,568000,2,2,"164 Beach 101st St #15a, Rockaway Park, NY 11694, USA",40.5828044,-73.8210807,116.407459,Queens,False,2.0659808093409597,4879.412409474551
salmon,multi family home,1153000,4,2,"7739 Amboy Rd, Staten Island, NY 10307, USA",40.5078915,-74.2530332,369.75394,Staten Island,False,2.5679128104204976,3118.2899633199313
realty connect usa,multi family home,2399000,10,5,"35-05 214th Pl, Flushing, NY 11361, USA",40.7693956,-73.7708144,202.91946300338603,Queens,False,2.307323704350202,11822.424347535203
keller williams,co op,349000,1,1,"510 Ocean Pkwy, Brooklyn, NY 11218, USA",40.6358249,-73.973308,74.3224,Brooklyn,False,1.8711197253387533,4695.757941078329
realty trends corp,multi family home,2999990,5,6,"226 12th St, Brooklyn, NY 11215, USA",40.6681258,-73.9897865,334.4508,Brooklyn,False,2.5243322391140968,8969.899309554648
mont sky real estate hudson,townhouse,899000,3,2,"50-07 63rd St, Flushing, NY 11377, USA",40.7368055,-73.9026152,130.0642,Queens,False,2.1141577740250477,6911.97116500928
amorelli,co op,169000,1,1,"21-57 33rd St #5d, Astoria, NY 11105, USA",40.7759232,-73.9087334,202.91946300338603,Queens,False,2.307323704350202,832.8427322773862
jm,house,449999,4,3,"46 Elizabeth St, Staten Island, NY 10310, USA",40.6329023,-74.120945,113.062951,Staten Island,False,2.0533203165768747,3980.074781525913
keller williams,townhouse,495000,3,2,"75 N Burgher Ave, Staten Island, NY 10310, USA",40.6396483,-74.1151985,118.91584,Staten Island,False,2.075239707994678,4162.60777369945
ed bruno,house,749000,4,3,"142 Dixon Ave, Staten Island, NY 10303, USA",40.6278109,-74.146957,199.74145,Staten Island,False,2.300468198262415,3749.8476155049443
exit prime,house,875000,4,3,"79-26 268th St, Queens, NY 11004, USA",40.7474641,-73.704456,197.790487,Queens,False,2.296205399785132,4423.873024793149
